subj	trial	stimulus	response	block
1	1	0	1	5
1	2	16	1	5
1	3	42	2	5
1	4	34	2	5
1	5	14	1	5
1	6	24	1	5
1	7	36	2	5
1	8	30	2	5
1	9	12	1	5
1	10	20	1	5
1	11	38	2	5
1	12	28	2	5
1	13	10	1	5
1	14	22	1	5
1	15	100	2	5
1	16	26	1	5
1	17	8	1	5
1	18	18	1	5
1	19	40	2	5
1	20	32	2	5
1	21	0	1	5
1	22	16	1	5
1	23	42	2	5
1	24	34	2	5
1	25	14	1	5
1	26	24	2	5
1	27	36	2	5
1	28	30	2	5
1	29	12	1	5
1	30	20	1	5
1	31	38	2	5
1	32	28	2	5
1	33	10	1	5
1	34	22	1	5
1	35	100	2	5
1	36	26	2	5
1	37	8	1	5
1	38	18	1	5
1	39	40	2	5
1	40	32	2	5
